ano_emissao,mes_emissao,uf,municipio,tipo,status,abrangencia,especie_arma,marca_arma,calibre_arma,sexo,total
2025,1,MA,IMPERATRIZ                         ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38 SPL                                           ,M,1
2025,1,MA,S�O LU�S                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,MG,BELO HORIZONTE                     ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,7
2025,1,MG,BELO HORIZONTE                     ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,19
2025,1,MG,BELO HORIZONTE                     ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,BOCAI�VA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,MG,BOTELHOS                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,MG,CALDAS                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,CONTAGEM                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,GOVERNADOR VALADARES               ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,MG,LAGOA SANTA                        ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,PO�OS DE CALDAS                    ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,3
2025,1,MG,PO�OS DE CALDAS                    ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,11
2025,1,MG,RIBEIR�O DAS NEVES                 ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,SABAR�                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,MG,SANTA LUZIA                        ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,SETE LAGOAS                        ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,S�O JOAQUIM DE BICAS               ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,MG,VESPASIANO                         ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,MS,CAMPO GRANDE                       ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,MS,CORUMB�                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,MS,CORUMB�                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,8
2025,1,MS,SETE QUEDAS                        ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,MT,CONFRESA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,ALFA-PROJ (SPOL S.R.O.)                                               ,.380 ACP                                          ,M,1
2025,1,MT,LUCAS DO RIO VERDE                 ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,MT,LUCAS DO RIO VERDE                 ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,8
2025,1,MT,NOVA MUTUM                         ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PA,ANANINDEUA                         ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,PA,BEL�M                              ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,PA,BEL�M                              ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,PA,CASTANHAL                          ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,1
2025,1,PA,PACAJ�                             ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,F,1
2025,1,PA,REDEN��O                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,2
2025,1,PB,BAYEUX                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PB,JO�O PESSOA                        ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,3
2025,1,PB,JO�O PESSOA                        ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,6
2025,1,PB,SANTA RITA                         ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PE,ABREU E LIMA                       ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PE,CABO DE SANTO AGOSTINHO            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,PE,CABO DE SANTO AGOSTINHO            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PE,CARPINA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,PE,ESCADA                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PE,IPOJUCA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,PE,IPOJUCA                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,2
2025,1,PE,JABOAT�O DOS GUARARAPES            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,1
2025,1,PE,OLINDA                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,4
2025,1,PE,PAULISTA                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PE,PETROLINA                          ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,PE,RECIFE                             ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,M,1
2025,1,PE,RECIFE                             ,Defesa Pessoal         ,Cancelado     ,Regional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,PE,RECIFE                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,F,3
2025,1,PE,RECIFE                             ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,7
2025,1,PE,S�O LOUREN�O DA MATA               ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,2
2025,1,PI,ACAU�                              ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PI,CAMPO MAIOR                        ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PI,PARNA�BA                           ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PI,PARNA�BA                           ,Funcional              ,Cancelado     ,Nacional  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PI,TERESINA                           ,Funcional              ,Ativo - V�lido,Nacional  ,                                                  ,                                                                      ,                                                  ,M,7
2025,1,PR,CASCAVEL                           ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,PR,COLOMBO                            ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PR,CURITIBA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
2025,1,PR,CURITIBA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,M,2
2025,1,PR,CURITIBA                           ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Revolver                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,M,1
2025,1,PR,CURITIBA                           ,Defesa Pessoal         ,Ativo - V�lido,Nacional  ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38 SPL                                           ,M,1
2025,1,PR,CURITIBA                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,2
2025,1,PR,LONDRINA                           ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,3
2025,1,PR,MATINHOS                           ,Funcional              ,Ativo - V�lido,Estadual  ,                                                  ,                                                                      ,                                                  ,M,1
2025,1,PR,RIBEIR�O CLARO                     ,Defesa Pessoal         ,Ativo - V�lido,Estadual  ,Pistola                                           ,GLOCK GMBH (�USTRIA)                                                  ,.380                                              ,M,1
